Year,Deal date,Title,Author,Publisher (best-effort),Category,Content term(s),Deal ID,Deal URL
2015,9-Sep-15,LEAVING LUCY PEAR,Anna Solomon,Viking,Fiction: General/Other,Jewish,106402,https://www.publishersmarketplace.com/deals/ss.cgi?d=106402
2015,14-Apr-15,PROVIDENCE,Barbara Britton,Harbourlight Books,Fiction: Debut,Israel,96717,https://www.publishersmarketplace.com/deals/ss.cgi?d=96717
2015,22-Sep-15,SELMA AND NELLY,Marlene Wagman-Geller,Bleeding Heart,Fiction: General/Other,Jewish,107956,https://www.publishersmarketplace.com/deals/ss.cgi?d=107956
2015,23-Apr-15,SEPTIMANIA,Jonathan Levi,Overlook,Fiction: General/Other,Jews,97042,https://www.publishersmarketplace.com/deals/ss.cgi?d=97042
2015,9-Dec-15,SIRIUS,Jonathan Crown,Scribner,Fiction: General/Other,Jewish,116293,https://www.publishersmarketplace.com/deals/ss.cgi?d=116293
2015,23-Mar-15,THE AERIALIST,Pam Jenoff,Mira,Fiction: General/Other,Jews,95901,https://www.publishersmarketplace.com/deals/ss.cgi?d=95901
2015,27-Apr-15,THE AFTERLIFE OF STARS,Joseph Kertes,"Little, Brown",Fiction: General/Other,Jewish,97113,https://www.publishersmarketplace.com/deals/ss.cgi?d=97113
2015,18-Mar-15,THE BEST PLACE ON EARTH,Ayelet Tsabari,Random House,Fiction: General/Other,Jewish,95729,https://www.publishersmarketplace.com/deals/ss.cgi?d=95729
2015,1-Oct-15,THE DEVOURING,James Benn,Soho Press,Fiction: Mystery/Crime,Jewish,109147,https://www.publishersmarketplace.com/deals/ss.cgi?d=109147
2015,18-Feb-15,THE ENGLISH TEACHER,Yiftah Atir,Penguin,Fiction: Mystery/Crime,Israel,94733,https://www.publishersmarketplace.com/deals/ss.cgi?d=94733
2015,9-Nov-15,THE KAISER'S LAST KISS,Alan Judd,Touchstone,Fiction: General/Other,Jewish,113290,https://www.publishersmarketplace.com/deals/ss.cgi?d=113290
2015,15-May-15,THE KAMINSKY CURE,Christopher New,Delphinium,Fiction: General/Other,Jewish,97890,https://www.publishersmarketplace.com/deals/ss.cgi?d=97890
2015,12-Jan-15,THE ONE MAN,Andrew Gross,Minotaur,Fiction: Thriller,Jew,93519,https://www.publishersmarketplace.com/deals/ss.cgi?d=93519
2015,22-Sep-15,THE RUINED HOUSE,Ruby Namdar,Harper,Fiction: General/Other,Israel,107977,https://www.publishersmarketplace.com/deals/ss.cgi?d=107977
2015,3-Jun-15,THE SECOND WINTER,Craig Larsen,Other Press,Fiction: General/Other,Jewish,98409,https://www.publishersmarketplace.com/deals/ss.cgi?d=98409
2015,21-Sep-15,THREE ENVELOPES,Nir Hezroni,Thomas Dunne Books,Fiction: Thriller,Israeli,107672,https://www.publishersmarketplace.com/deals/ss.cgi?d=107672
2015,8-Jan-15,untitled,Yochi Brandes,St. Martin's,Fiction: General/Other,Israel; Israeli,93455,https://www.publishersmarketplace.com/deals/ss.cgi?d=93455
2016,16-May-16,AN OCCUPATION,Joshua Cohen,Random House,Fiction: General/Other,Israeli,132607,https://www.publishersmarketplace.com/deals/ss.cgi?d=132607
2016,9-Jun-16,AT THE HOUR BETWEEN DOG AND WOLF,Tara Ison,Counterpoint,Fiction: General/Other,Jewish,135361,https://www.publishersmarketplace.com/deals/ss.cgi?d=135361
2016,19-Jan-16,BORDERLIFE,Dorit Rabinyan,Random House,Fiction: General/Other,Israel; Israeli,119290,https://www.publishersmarketplace.com/deals/ss.cgi?d=119290
2016,21-Jun-16,BUILDING BENJAMIN,Barbara Britton,Pelican Book Group,Fiction: Inspirational,Israel,136708,https://www.publishersmarketplace.com/deals/ss.cgi?d=136708
2016,20-Jun-16,COME BACK FOR ME,Sharon Hart-Green,New Jewish Press,Fiction: Debut,Jewish,136414,https://www.publishersmarketplace.com/deals/ss.cgi?d=136414
2016,22-Apr-16,EGYPT'S SISTER,Angela Hunt,Bethany House,Fiction: Romance,Jewish,130147,https://www.publishersmarketplace.com/deals/ss.cgi?d=130147
2016,30-Nov-16,GATEWAY TO THE MOON,Mary Morris,Nan A. Talese,Fiction: General/Other,Jews,153211,https://www.publishersmarketplace.com/deals/ss.cgi?d=153211
2016,13-Apr-16,GONE TO DUST,Matt Goldman,Forge,Fiction: Mystery/Crime,Jewish,129295,https://www.publishersmarketplace.com/deals/ss.cgi?d=129295
2016,16-May-16,IN THE FREE COUNTRY,Betsy Carter,Grand Central,Fiction: General/Other,Jewish,132610,https://www.publishersmarketplace.com/deals/ss.cgi?d=132610
2016,12-Dec-16,JERUSLAEM RISING,Barbara Britton,Pelican Book Group,Fiction: Inspirational,Israel,154825,https://www.publishersmarketplace.com/deals/ss.cgi?d=154825
2016,22-Jan-16,NARROW BRIDGE,Joyce Gittlin and Janet Fattal,Prospect Park Books,Fiction: Debut,Jewish,119722,https://www.publishersmarketplace.com/deals/ss.cgi?d=119722
2016,14-Mar-16,NINE FOLDS MAKE A PAPER SWAN,Ruth Gilligan,Tin House Books,Fiction: General/Other,Jewish,125845,https://www.publishersmarketplace.com/deals/ss.cgi?d=125845
2016,23-Apr-16,THE COMEDOWN,Rebekah Frumkin,Holt,Fiction: Debut,Jewish,130204,https://www.publishersmarketplace.com/deals/ss.cgi?d=130204
2016,17-Oct-16,THE DIAMOND SETTER,Moshe Sakal,Other Press,Fiction: General/Other,Jewish; Israel; Israeli,148711,https://www.publishersmarketplace.com/deals/ss.cgi?d=148711
2016,8-Nov-16,THE GLASS WEDDING,Alexandra Borowitz,Mira,Fiction: Debut,Jewish,150907,https://www.publishersmarketplace.com/deals/ss.cgi?d=150907
2016,30-Mar-16,THE MATRIMONIAL FLIRTATIONS OF EMMA KAULFIELD,Anna Fishbeyn,Skyhorse,Fiction: Debut,Jewish,127681,https://www.publishersmarketplace.com/deals/ss.cgi?d=127681
2016,12-Jul-16,THE METER GIRL,Janet Beard,William Morrow,Fiction: General/Other,Jewish,138889,https://www.publishersmarketplace.com/deals/ss.cgi?d=138889
2016,8-Apr-16,THE TRICK,Emanuel Bergmann,Atria,Fiction: Debut,Jewish,128767,https://www.publishersmarketplace.com/deals/ss.cgi?d=128767
2016,9-Jun-16,THE WEIGHT OF INK,Rachel Kadish,Houghton Mifflin Harcourt,Fiction: General/Other,Jewish,135481,https://www.publishersmarketplace.com/deals/ss.cgi?d=135481
2016,18-Feb-16,THE WORLDS WE THINK WE KNOW,Dalia Rosenfeld,Milkweed,Fiction: Debut,Israel,122869,https://www.publishersmarketplace.com/deals/ss.cgi?d=122869
2016,19-Oct-16,WE ARE GATHERED,Jamie Weisman,Houghton Mifflin Harcourt,Fiction: Debut,Jewish,148966,https://www.publishersmarketplace.com/deals/ss.cgi?d=148966
2017,15-Jun-17,untitled,Marie Benedict,Sourcebooks Landmark,Fiction: General/Other,Jewish,174319,https://www.publishersmarketplace.com/deals/ss.cgi?d=174319
2017,31-Oct-17,CESARE,Jerome Charyn,Bellevue Literary Press,Fiction: General/Other,Jewish,188557,https://www.publishersmarketplace.com/deals/ss.cgi?d=188557
2017,4-Jan-17,IMPERFECT SOLO,Steven Boykey Sidley,Skyhorse,Fiction: General/Other,Jewish,156223,https://www.publishersmarketplace.com/deals/ss.cgi?d=156223
2017,4-Aug-17,NOT OUR KIND,Kitty Zeldis,Harper,Fiction: General/Other,Jewish,179197,https://www.publishersmarketplace.com/deals/ss.cgi?d=179197
2017,16-Sep-17,OF ANOTHER TIME AND PLACE,Brad Schaeffer,Post Hill Press,Fiction: Debut,Jews,183358,https://www.publishersmarketplace.com/deals/ss.cgi?d=183358
2017,3-Feb-17,SADNESS IS A WHITE BIRD,Moriel Rothman-Zecher,Atria,Fiction: Debut,Israeli,159667,https://www.publishersmarketplace.com/deals/ss.cgi?d=159667
2017,18-May-17,THE EMPEROR OF SHOES,Spencer Wise,Hanover Square Press,Fiction: Debut,Jewish,171436,https://www.publishersmarketplace.com/deals/ss.cgi?d=171436
2017,23-May-17,THE MANDELA PLOT,Kenneth Bonert,Houghton Mifflin Harcourt,Fiction: Thriller,Jewish,171868,https://www.publishersmarketplace.com/deals/ss.cgi?d=171868
2017,5-May-17,THE PARTING GIFT,Evan Fallenberg,Other Press,Fiction: General/Other,Israel,169912,https://www.publishersmarketplace.com/deals/ss.cgi?d=169912
2017,22-Sep-17,THE SISTERS OF THE WINTER WOOD,Rena Rossner,Redhook,Fiction: Debut,Jewish,184120,https://www.publishersmarketplace.com/deals/ss.cgi?d=184120
2017,1-Sep-17,THE SOUL OF A THIEF,Steven Hartov,Hanover Square Press,Fiction: General/Other,Jewish,181429,https://www.publishersmarketplace.com/deals/ss.cgi?d=181429
2017,4-Apr-17,WHEN DARKNESS COMES,John Anthony Miller,Taylor and Seale,Fiction: Thriller,Jews,166375,https://www.publishersmarketplace.com/deals/ss.cgi?d=166375
2017,1-May-17,WINTER KEPT US WARM,Anne Raeff,Counterpoint,Fiction: General/Other,Jewish,169129,https://www.publishersmarketplace.com/deals/ss.cgi?d=169129
2018,5-Nov-18,A BEND IN THE STARS,Rachel Barenbaum,Grand Central,Fiction: Debut,Jewish,229450,https://www.publishersmarketplace.com/deals/ss.cgi?d=229450
2018,31-Jul-18,AQUARIUM,Yaara Shehori,"Farrar, Straus",Fiction: Debut,Israel,218620,https://www.publishersmarketplace.com/deals/ss.cgi?d=218620
2018,9-May-18,DEATH IN SHANGRI-LA,Yigal Zur,Oceanview,Fiction: Thriller,Israeli; Hebrew,209797,https://www.publishersmarketplace.com/deals/ss.cgi?d=209797
2018,28-Nov-18,FRAYED LIGHT,Yonatan Berg and Joanna Chen,Wesleyan University Press,Fiction: General/Other,Hebrew,231871,https://www.publishersmarketplace.com/deals/ss.cgi?d=231871
2018,3-Feb-18,HOLY LANDS,Amanda Sthers,Bloomsbury,Fiction: General/Other,Jewish; Israel,198772,https://www.publishersmarketplace.com/deals/ss.cgi?d=198772
2018,6-Mar-18,IN ANOTHER TIME,Jillian Cantor,Harper Perennial,Fiction: General/Other,Jewish,202321,https://www.publishersmarketplace.com/deals/ss.cgi?d=202321
2018,17-May-18,LIONESS,Barbara Britton,Harbourlight Books,Fiction: Inspirational,Israel,210919,https://www.publishersmarketplace.com/deals/ss.cgi?d=210919
2018,4-Jan-18,NIGHT AND THE HANGMAN,T.R. Kenneth,Oceanview,Fiction: Thriller,Jewish,195544,https://www.publishersmarketplace.com/deals/ss.cgi?d=195544
2018,4-Sep-18,untitled,Pam Jenoff,Park Row Books,Fiction: General/Other,Jewish,221608,https://www.publishersmarketplace.com/deals/ss.cgi?d=221608
2018,27-Jun-18,SONG OF SONGS,Marc Graham,Blank Slate Press,Fiction: General/Other,Israel,215260,https://www.publishersmarketplace.com/deals/ss.cgi?d=215260
2018,1-Oct-18,THE COMMITTEE,Sterling Watson,Akashic,Fiction: General/Other,Jews,225016,https://www.publishersmarketplace.com/deals/ss.cgi?d=225016
2018,7-Jul-18,THE GIRL WITH THE LEICA,Helena Janeczek,Europa Editions,Fiction: General/Other,Jew,215947,https://www.publishersmarketplace.com/deals/ss.cgi?d=215947
2018,1-Mar-18,THE JADE LILY and THE CHEAPSIDE JEWELS,Kirsty Manning,William Morrow,Fiction: Debut,Jewish,201649,https://www.publishersmarketplace.com/deals/ss.cgi?d=201649
2018,12-Oct-18,THE LIMITS OF THE WORLD,Jennifer Acker,Delphinium,Fiction: General/Other,Jewish,226747,https://www.publishersmarketplace.com/deals/ss.cgi?d=226747
2018,1-Aug-18,THE LOST GOLD OF BLUE MOUNTAIN,Mary Morris,Nan A. Talese,Fiction: General/Other,Jewish,218764,https://www.publishersmarketplace.com/deals/ss.cgi?d=218764
2018,9-Mar-18,THE PASSENGER,Ulrich Alexander Boschwitz,Metropolitan,Fiction: General/Other,Jewish,202672,https://www.publishersmarketplace.com/deals/ss.cgi?d=202672
2018,22-Aug-18,THE SEVENTH COMMANDO,Steven Hartov,Hanover Square Press,Fiction: General/Other,Jews,220732,https://www.publishersmarketplace.com/deals/ss.cgi?d=220732
2018,17-May-18,THREE,D.A. Mishani,Europa Editions,Fiction: Thriller,Israeli,210856,https://www.publishersmarketplace.com/deals/ss.cgi?d=210856
2019,3-Jan-19,AN OLD MAN'S GAME,Andy Weinberger,Prospect Park Books,Fiction: Mystery/Crime,Jewish,235066,https://www.publishersmarketplace.com/deals/ss.cgi?d=235066
2019,2-Oct-19,CITY OF A THOUSAND GATES,Rebecca Sacks,Harper,Fiction: Debut,Israel; Israeli,264907,https://www.publishersmarketplace.com/deals/ss.cgi?d=264907
2019,16-Sep-19,CLAIMING CANAAN,Barbara Britton,Harbourlight Books,Fiction: Inspirational,Israel,262753,https://www.publishersmarketplace.com/deals/ss.cgi?d=262753
2019,5-Feb-19,FLORENCE ADLER SWIMS FOREVER,Rachel Beanland,Simon & Schuster,Fiction: Debut,Jewish,238750,https://www.publishersmarketplace.com/deals/ss.cgi?d=238750
2019,18-Mar-19,HEAVENLY LIGHTS,Barbara Britton,Harbourlight Books,Fiction: Inspirational,Israel,243496,https://www.publishersmarketplace.com/deals/ss.cgi?d=243496
2019,2-Jan-19,HOUSE ON ENDLESS WATERS,Emuna Elon,Atria,Fiction: General/Other,Jewish; Israeli,234985,https://www.publishersmarketplace.com/deals/ss.cgi?d=234985
2019,12-Jun-19,MILK FED,Melissa Broder,Scribner,Fiction: General/Other,Jewish,253540,https://www.publishersmarketplace.com/deals/ss.cgi?d=253540
2019,7-Mar-19,RIVER,Susan Abulhawa,Atria,Fiction: General/Other,Israel,242587,https://www.publishersmarketplace.com/deals/ss.cgi?d=242587
2019,16-Apr-19,SENSATION MACHINES,Adam Wilson,Soho Press,Fiction: General/Other,Jewish,247153,https://www.publishersmarketplace.com/deals/ss.cgi?d=247153
2019,10-Jul-19,THE LOST SHTETL,Max Gross,Harper Via,Fiction: Debut,Jewish,256384,https://www.publishersmarketplace.com/deals/ss.cgi?d=256384
2019,28-Aug-19,THE MERCHANT OF WAR,Ronald Balson,St. Martin's,Fiction: General/Other,Jewish,260983,https://www.publishersmarketplace.com/deals/ss.cgi?d=260983
2019,13-May-19,THE NESTING DOLLS,Alina Adams,Harper,Fiction: General/Other,Jewish,250156,https://www.publishersmarketplace.com/deals/ss.cgi?d=250156
2019,9-Apr-19,THE ORCHARD,David Hopen,Ecco,Fiction: Debut,Jewish,246319,https://www.publishersmarketplace.com/deals/ss.cgi?d=246319
2019,8-Oct-19,THE PARIS CHILDREN,Gloria Goldreich,Sourcebooks Landmark,Fiction: General/Other,Jewish,265675,https://www.publishersmarketplace.com/deals/ss.cgi?d=265675
